state,latitude,longitude,timing
MT,46.27368,-113.164,-1.192307692
MT,44.65866,-111.09199,-5.823076923
MT,44.61088,-111.14998,-8.661538462
MT,45.04575,-109.90987,-2.969230769
MT,47.44847,-112.81428,-13.02307692
NM,36.51174,-106.31543,-22.43846154
NM,36.95636,-106.65682,-23.72307692
NM,36.19446,-105.55795,-27.16923077
NM,36.71631,-106.26348,-8.992307692
NM,36.99378,-105.25963,-31.30769231
NM,35.92244,-106.39203,-29.34615385
NM,36.69925,-105.34125,-25.2
NM,36.00198,-106.83348,-22.79230769
NM,33.37106,-108.70618,-11.21538462
NV,41.83384,-115.45278,-8.061538462
NV,39.31917,-114.62278,-4.146153846
NV,41.76168,-115.6931,-10.73846154
NV,39.29148,-117.11506,-5.553846154
NV,41.75067,-117.53182,-5.569230769
NV,40.27551,-115.54017,-14.27692308
NV,40.89343,-115.21104,-7.384615385
NV,41.82098,-116.10153,-12.79230769
NV,41.67032,-117.56668,-9.046153846
NV,40.3848,-115.52757,-8.392307692
NV,41.54675,-116.00517,-10.34615385
NV,40.6448,-115.3812,-9.307692308
NV,41.77637,-116.02957,-7.1
NV,39.16395,-119.89672,-5.084615385
NV,39.31573,-119.89473,-2.876923077
NV,41.87255,-115.24713,-0.7
NV,41.73732,-115.47215,-6.176923077
NV,39.13242,-114.95575,-7.584615385
OR,45.19085,-119.25392,-1.669230769
OR,45.14532,-118.219,14.14615385
OR,42.05257,-122.85487,5.084615385
OR,42.40717,-122.26617,-5.284615385
OR,45.4287,-121.85605,-2.130769231
OR,44.24767,-118.51722,-8.984615385
OR,44.83052,-118.18787,-22.32307692
OR,45.36428,-118.46715,-13.30769231
OR,43.59042,-122.0601,-5.061538462
OR,43.22625,-121.80662,-3.561538462
OR,42.53305,-122.17683,-8.707692308
OR,44.4465,-119.93012,-15.72307692
OR,44.86887,-118.11387,-16.27692308
OR,42.70992,-118.6321,-7.738461538
OR,42.3801,-122.34943,15.23846154
OR,42.43933,-122.2288,-7.815384615
OR,44.7638,-118.3117,0.307692308
OR,45.69682,-118.10657,14.87692308
OR,44.42042,-121.85655,-31.45384615
OR,43.66917,-122.56877,-8.230769231
OR,43.80368,-121.94793,-8.623076923
OR,44.21007,-118.63752,-22.36923077
OR,44.2103,-121.87292,-14.95384615
OR,45.27173,-117.68747,7.215384615
OR,45.32097,-121.7158,-4.638461538
OR,45.26522,-117.17373,-5.107692308
OR,44.42917,-120.3311,-22.93846154
OR,45.4643,-121.70428,10.69230769
OR,43.90098,-122.03063,-6.223076923
OR,43.61193,-122.11758,2.830769231
OR,42.69825,-122.14165,-6.515384615
OR,42.95615,-121.18123,-9.230769231
OR,42.75333,-118.68785,-13.26923077
OR,43.94885,-119.54013,-6.376923077
OR,44.26423,-119.02162,3.707692308
OR,42.6957,-120.80158,-15.20769231
OR,43.44907,-122.13808,0.876923077
OR,45.07707,-117.55067,-8.107692308
OR,44.14425,-121.64095,-21.63076923
OR,44.65567,-118.42617,-4.415384615
OR,45.06703,-118.15192,-8.969230769
UT,39.13683,-111.55813,-20.16153846
UT,40.61233,-111.09782,5.476923077
UT,41.37603,-111.94405,-17.84615385
UT,41.38291,-111.92103,-21.95384615
UT,38.30183,-112.35672,3.876923077
UT,38.6799,-111.59765,-12.91538462
UT,38.50809,-112.01856,-22.37692308
UT,40.58102,-110.58587,-5.838461538
UT,39.134,-111.43722,-16.1
UT,41.68541,-111.41987,-7.553846154
UT,37.66098,-112.74093,-7.323076923
UT,40.85464,-111.04765,-10.94615385
UT,40.88529,-111.06954,-1.661538462
UT,40.77458,-110.0105,-16.59230769
UT,39.86671,-111.28363,-17.66923077
UT,39.89275,-111.25154,-6.715384615
UT,40.35747,-111.08993,-22.64615385
UT,40.2953,-111.25677,-8.646153846
UT,39.04554,-111.46875,-10.26923077
UT,41.41289,-111.5377,-10.66153846
UT,40.97462,-111.80975,-10.10769231
UT,38.77246,-111.67662,-9.561538462
UT,40.71785,-110.46721,-10.46153846
UT,38.80034,-111.68333,-22.49230769
UT,37.48997,-112.57602,-3.753846154
UT,40.79669,-110.88472,-17.50769231
UT,41.31372,-111.44624,-10.04615385
UT,39.89166,-110.74604,-19.29230769
UT,38.48383,-112.39273,-20.08461538
UT,40.71632,-109.54401,-15.21538462
UT,37.52664,-113.05386,-15.03846154
UT,40.59709,-110.43316,-9.215384615
UT,38.48226,-109.27198,-16.99230769
UT,40.86493,-110.79813,-17.57692308
UT,41.40562,-111.82607,-14.62307692
UT,37.51255,-113.39661,-12.46923077
UT,39.68338,-111.31818,-21.76153846
UT,38.30285,-112.43637,-3.623076923
UT,37.56933,-112.83849,-4.538461538
UT,41.46547,-111.49688,-11.22307692
UT,40.60798,-109.8881,-17.73076923
UT,40.76184,-111.62917,2.161538462
UT,39.92976,-111.63109,-20.46153846
UT,39.01219,-111.58259,-21.52307692
UT,39.45197,-111.27221,-13.22307692
UT,40.54875,-110.69292,-1.353846154
UT,40.44293,-112.22377,-7.469230769
UT,39.31042,-111.43297,-18.37692308
UT,40.78931,-111.09192,-1.938461538
UT,40.90862,-110.50462,-6.961538462
UT,40.16483,-111.20665,-5.407692308
UT,40.42817,-111.61633,-8.238461538
UT,41.89833,-111.62957,-10.44615385
UT,40.678,-110.94873,2.953846154
UT,40.739,-109.6728,-11.60769231
UT,39.93667,-112.41478,-12.67692308
UT,37.575,-112.90155,-9.553846154
UT,37.83633,-111.88163,-13.50769231
WA,47.35037,-120.6796,-29.56923077
WA,46.27143,-121.96288,-6.307692308
WA,48.44488,-120.91551,-0.469230769
WA,46.62153,-121.38643,0.269230769
WA,47.9909,-120.56622,0.607692308
WA,47.74607,-121.09288,-0.730769231
WA,46.09497,-121.76345,-7.038461538
WA,47.23328,-120.29412,17.52307692
WA,47.28734,-120.37015,-5.330769231
WA,46.64142,-121.38153,0.992307692
WY,44.8007,-107.84442,0.823076923
WY,43.88743,-107.06135,-2.484615385
WY,44.94307,-109.56743,4.638461538
WY,44.37667,-109.79333,-1.730769231
WY,44.67888,-107.5811,2.207692308
WY,44.71961,-110.51084,8.453846154
WY,44.40343,-107.06057,-1.207692308
WY,41.30398,-107.15241,-5.669230769
WY,44.57462,-107.29537,-0.223076923
WY,43.00657,-109.75893,-4.823076923
WY,44.12612,-110.83435,0.769230769
WY,43.38939,-110.12943,-11.17692308
WY,44.25602,-106.97983,-0.607692308
WY,42.86984,-109.09455,4.461538462
WY,43.86067,-109.32163,-4.392307692
WY,44.20862,-110.66628,2.946153846
WY,43.50278,-109.752,-8.615384615
WY,43.17387,-110.14007,-6.392307692
WY,43.62728,-107.18138,-13.2
WY,41.3308,-106.37555,-8.461538462
WY,41.15397,-106.96937,4.761538462
WY,43.65868,-109.00988,-8.838461538
WY,44.73396,-109.91484,-7.515384615
WY,43.51687,-110.91258,-12.02307692
WY,44.16188,-107.12622,-7.407692308
WY,42.5075,-110.9099,-1.461538462
WY,44.50012,-107.42947,-0.676923077
WY,41.32943,-106.50248,-15.06153846
WY,44.7225,-107.40033,0.061538462
WY,44.47764,-110.15651,-18.15384615
WY,43.74902,-110.0578,-7.761538462
WY,42.69525,-108.89572,-2.469230769
WY,44.15178,-110.22122,-5.969230769
WY,41.15946,-106.92714,-10.94615385
WY,44.80417,-109.657,-9.9
